"","title","YearPub","pmid","abstract"
"1","PacBio amplicon sequencing for metabarcoding of mixed DNA samples from lichen herbarium specimens.",2019,"31205446","The detection and identification of species of fungi in the environment using molecular methods heavily depends on reliable reference sequence databases. However, these databases are largely incomplete in terms of taxon coverage, and a significant effort is required from herbaria and living fungal collections for the mass-barcoding of well-identified and well-curated fungal specimens or strains. Here, a PacBio amplicon sequencing approach is applied to recent lichen herbarium specimens for the sequencing of the fungal ITS barcode, allowing a higher throughput sample processing than Sanger sequencing, which often required the use of cloning. Out of 96 multiplexed samples, a full-length ITS sequence of the target lichenised fungal species was recovered for 85 specimens. In addition, sequences obtained for co-amplified fungi gave an interesting insight into the diversity of endolichenic fungi. Challenges encountered at both the laboratory and bioinformatic stages are discussed, and cost and quality are compared with Sanger sequencing. With increasing data output and reducing sequencing cost, PacBio amplicon sequencing is seen as a promising approach for the generation of reference sequences for lichenised fungi as well as the characterisation of lichen-associated fungal communities."
"2","Metabarcoding Insights Into the Trophic Behavior and Identity of Intertidal Benthic Foraminifera.",2019,"31191490","Foraminifera are ubiquitous marine protists with an important role in the benthic carbon cycle. However, morphological observations often fail to resolve their exact taxonomic placement and there is a lack of field studies on their particular trophic preferences. Here, we propose the application of metabarcoding as a tool for the elucidation of the in situ feeding behavior of benthic foraminifera, while also allowing the correct taxonomic assignment of the feeder, using the V9 region of the 18S (small subunit; SSU) rRNA gene. Living foraminiferal specimens were collected from two intertidal mudflats of the Wadden Sea and DNA was extracted from foraminiferal individuals and from the surrounding sediments. Molecular analysis allowed us to confirm that our foraminiferal specimens belong to three genetic types: Ammonia sp. T6, Elphidium sp. S5 and Haynesina sp. S16. Foraminiferal intracellular eukaryote communities reflected to an extent those of the surrounding sediments but at different relative abundances. Unlike sediment eukaryote communities, which were largely determined by the sampling site, foraminiferal intracellular eukaryote communities were driven by foraminiferal species, followed by sediment depth. Our data suggests that Ammonia sp. T6 can predate on metazoan classes, whereas Elphidium sp. S5 and Haynesina sp. S16 are more likely to ingest diatoms. These observations, alongside the use of metabarcoding in similar ecological studies, significantly contribute to our overall understanding of the ecological roles of these protists in intertidal benthic environments and their position and function in the benthic food webs."
"3","Conductive carbon nanoparticles inhibit methanogens and stabilize hydrogen production in microbial electrolysis cells.",2019,"31190238","Nanosized conductive carbon materials have been reported to stimulate methanogenesis by anaerobic microbiomes, while other studies have shown their antimicrobial activities. The present study examined effects of conductive carbon nanoparticles (carbon black Vulcan, CB) on methanogenesis from glucose by anaerobic sludge. We found that a relatively high concentration (e.g., 2% w/v) of CB entirely inhibited the methanogenesis, where a substantial amount of acetate was accumulated after degradation of glucose. Quantitative real-time PCR assays and metabarcoding of 16S rRNA amplicons revealed that, while bacteria were stably present irrespective of the presence and absence of CB, archaea, in particular methanogens, were largely decreased in the presence of CB. Pure-culture experiments showed that methanogenic archaea were more seriously damaged by CB than fermentative bacteria. These results demonstrate that CB specifically inhibits methanogens in anaerobic sludge. We attempted to supplement cathode chambers of microbial electrolysis cells with CB for inhibiting methanogenesis from hydrogen, demonstrating that hydrogen is stably produced in the presence of CB."
"4","Environmental DNA metabarcoding as an effective and rapid tool for fish monitoring in canals.",2019,"31183856","We focus on a case study along an English canal comparing environmental DNA (eDNA) metabarcoding with two types of electrofishing techniques (wade-and-reach and boom-boat). In addition to corroborating data obtained by electrofishing, eDNA provided a wider snapshot of fish assemblages. Given the semi-lotic nature of canals, we encourage the use of eDNA as a fast and cost-effective tool to detect and monitor whole fish communities."
"5","A novel metabarcoding approach to investigate Fusarium species composition in soil and plant samples.",2019,"31183494","The genus Fusarium contains more than 300 species, most of which are plant pathogens. Appropriate molecular tools for accurately and rapidly describing temporal and spatial shifts in Fusarium communities would be useful for the development of control strategies. Here, we present a new Fusarium-specific primer pair targeting the translation elongation factor 1-α (EF1α) gene with amplicons of around 430bp, suitable for MiSeq metabarcoding sequencing. Mock Fusarium communities were used to evaluate its resolution and to optimize read filtering and downstream analyses. The use of the DADA2 pipeline coupled with OTU picking at 98% similarity cut-off significantly increased the accuracy of read filtering. Building a phylogenetic tree using a manually curated database as a reference allowed taxonomic assignment at the species or species-complex level. This methodology was tested on soil and maize residue samples collected from crop fields. Up to 18 Fusarium OTUs, belonging to 17 species and 8 species complexes, were obtained with F. oxysporum being the most abundant species in soil samples, while F. graminearum and F. avenaceum were the most abundant in maize residues. We demonstrated the high performance of this workflow which could be further used for profiling Fusarium species composition and dynamics during the cultivation cycle."
"6","Anthropization level of Lascaux Cave microbiome shown by regional-scale comparisons of pristine and anthropized caves.",2019,"31177607","Limestone areas across the world develop karstic caves, which are populated by a wide range of macro- and microorganisms. Many of these caves display Paleolithic art or outstanding speleothems, and in the last century they have been subjected to anthropization due to touristic management and intense human frequentation. Despite their cultural importance and associated conservation issues, the impact of anthropization on cave biodiversity is not known. Here, we show that anthropization is associated with specific cave biota modifications. We compared diversity in four pristine caves, four anthropized show caves, and the iconic Lascaux Cave with even stronger anthropization. The predominant microbial higher taxa were the same in all caves, but the most anthropized cave (Lascaux) was unique as it differed from the eight others by a higher proportion of Bacteroidetes bacteria and the absence of Euryarchaeota and Woesearchaeota archaea. Anthropization resulted in lower diversity and altered community structure for bacteria and archaea on cave walls, especially in Lascaux, but with a more limited effect on micro-eukaryotes and arthropods. Our findings fill a key gap in our understanding of the response of karstic communities to anthropization, by revealing that tourism-related anthropization impacts on the prokaryotic microbiome rather than on eukaryotic residents, and that it shapes cave biota irrespective of cave natural features. This article is protected by copyright. All rights reserved."
"7","Single Fragment or Bulk Soil DNA Metabarcoding: Which is Better for Characterizing Biological Taxa Found in Surface Soils for Sample Separation?",2019,"31174412","In forensic geology casework, sample size typically limits routine characterization of material using bulk approaches. To address this, DNA-based characterization of biological taxa has received attention, as the taxa present can be useful for sample-to-sample comparisons and source attribution. In our initial work, low biodiversity was captured when DNA barcodes were Sanger-sequenced from plant and insect fragments isolated from 10 forensic-type surface soils. Considering some forensic laboratories now have access to massively parallel sequencing platforms, we assessed whether biological taxa present in the same surface soils could be better characterized using DNA metabarcoding. To achieve this, plant and animal barcodes were amplified and sequenced on an Illumina MiniSeq for three different DNA sample types (n = 50): individual fragments used in our initial study, and 250 and 100 mg of bulk soil (from the 10 sites used in the initial study). A total of 572 unique target barcode sequences passed quality filtering and were used in downstream statistical analyses: 54, 321, and 285 for individual fragments, 100 mg, and 250 mg bulk soil samples, respectively. Plant barcodes permitted some spatial separation of sample sites in non-metric multidimensional scaling plots; better separation was obtained for samples prepared from bulk soil. This study confirmed that bulk soil DNA metabarcoding is a better approach for characterizing biological taxa present in surface soils, which could supplement traditional geologic examinations."
"8","Sponges as natural environmental DNA samplers.",2019,"31163139","At a time of unprecedented impacts on marine biodiversity, scientists are rapidly becoming persuaded by the potential of screening large swathes of the oceans through the retrieval, amplification and sequencing of trace DNA fragments left behind by marine organisms; an approach known as 'environmental DNA' (eDNA) [1]. In trying to circumvent the many challenges associated with water filtration and DNA isolation from environmental samples, significant investment is being made in high-tech solutions, such as automated underwater vehicles and robots [2]. Here, instead, we explored a simpler, alternative option, based on the recovery of eDNA from sponges (phylum Porifera), the planet's most effective water-filterers. We obtained sponge samples from Mediterranean and Antarctic surveys, extracted total DNA from their tissues, and obtained tens of thousands of fish DNA reads via metabarcoding, which were able to clearly distinguish samples from the two regions. One Antarctic sample yielded hundreds of reads from chinstrap penguin (Pygoscelis antarcticus) and Weddell seal (Leptonychotes weddellii). We argue that this 'natural sampler DNA' (nsDNA) approach is poised to become a powerful, affordable, universal tool for aquatic biodiversity monitoring globally."
"9","Can Environmental RNA Revolutionize Biodiversity Science?",2019,"31160082","The use of environmental RNA (eRNA) for species identification remains unexplored due to the observation that in vitro RNA is much less stable than DNA. However, recent lines of evidence suggest that RNA may be abundantly excreted by organisms and sufficiently persistent in the environment to reconstruct community composition and gene expression."
"10","Metabarcoding reveals a high diversity of woody host-associated Phytophthora spp. in soils at public gardens and amenity woodlands in Britain.",2019,"31143546","Forests and woodlands worldwide are being severely impacted by invasive Phytophthora species, with initial outbreaks in some cases occurring on host trees located in public parks and gardens. These highly disturbed sites with diverse planting practices may indeed act as harbours for invasive Phytophthora pathogens which are particularly well adapted to surviving in soil. High throughput Illumina sequencing was used to analyse Phytophthora species diversity in soil samples collected from 14 public garden/amenity woodland sites in northern Britain. Bioinformatic analyses revealed some limitations to using internal transcribed spacer as the barcode region; namely reporting of false positives and ambiguous species matches. Taking this into account, 35 distinct sequences were amplified across the sites, corresponding to 23 known Phytophthora species as well as twelve oomycete sequences with no match to any known Phytophthora species. Phytophthora pseudosyringae and P. austrocedri, both of which cause serious damage to trees and are regarded as fairly recent introductions to Britain, were the two most abundant Phytophthora species detected. There was no evidence that any of the detected Phytophthora species were more associated with any one type of host, healthy or otherwise. This study has demonstrated the ubiquity and diversity of Phytophthora species endemic in highly managed, extensively planted soil environments in Britain. Suggested improvements to the methodology and the practical implications of the findings in terms of mitigating Phytophthora spread and impact are discussed."
