"","doi","title","abstract","YearPub"
"1","10.3897/mbmg.2.26664","choice of dna extraction method affects dna metabarcoding of unsorted invertebrate bulk samples","<jats:p>characterisation of freshwater benthic biodiversity using dna metabarcoding may allow more cost-effective environmental assessments than the current morphological-based assessment methods. dna metabarcoding methods where sorting or pre-sorting of samples are avoided altogether are especially interesting, since the time between sampling and taxonomic identification is reduced. due to the presence of non-target material like plants and sediments in crude samples, dna extraction protocols become important for maximising dna recovery and sample replicability. we sampled freshwater invertebrates from six river and lake sites and extracted dna from homogenised bulk samples in quadruplicate subsamples, using a published method and two commercially available kits: hotshot approach, qiagen dneasy blood &amp;amp; tissue kit and qiagen dneasy powerplant pro kit. the performance of the selected extraction methods was evaluated by measuring dna yield and applying dna metabarcoding to see if the choice of dna extraction method affects dna yield and metazoan diversity results. the powerplant kit extractions resulted in the highest dna yield and a strong significant correlation between sample weight and dna yield, while the dna yields of the blood &amp;amp; tissue kit and hotshot method did not correlate with the sample weights. metazoan diversity measures were more repeatable in samples extracted with the powerplant kit compared to those extracted with the hotshot method or the blood &amp;amp; tissue kit. subsampling using blood &amp;amp; tissue kit and hotshot extraction failed to describe the same community in the lake samples. our study exemplifies that the choice of dna extraction protocol influences the dna yield as well as the subsequent community analysis. based on our results, low specimen abundance samples will likely provide more stable results if specimens are sorted prior to dna extraction and dna metabarcoding, but the repeatability of the dna extraction and dna metabarcoding results was close to ideal in high specimen abundance samples.</jats:p>",2018
"2","10.3897/mbmg.2.22467","dropping hints estimating the diets of livestock in rangelands using dna metabarcoding of faeces","<jats:p>the introduction of domesticated animals into new environments can lead to considerable ecological disruption, and it can be difficult to predict their impact on the new ecosystem. in this study, we use faecal metabarcoding to characterize the diets of three ruminant taxa in the rangelands of south-western new south wales, australia. our study organisms included goats (<jats:italic>capraaegagrushircus</jats:italic>) and two breeds of sheep (<jats:italic>ovisaries</jats:italic>): merinos, which have been present in australia for over two hundred years, and dorpers, which were introduced in the 1990s. we used high-throughput sequencing methods to sequence the <jats:italic>rbcl</jats:italic> and its2 genes of plants in the faecal samples, and identified the samples using the genbank and bold online databases, as well as a reference collection of sequences from plants collected in the study area. we found that the diets of all three taxa were dominated by the family malvaceae, and that the dorper diet was more diverse than the merino diet at both the family and the species level. we conclude that dorpers, like merinos, are potentially a threat to some vulnerable species in the rangelands of new south wales.</jats:p>",2018
"3","10.3897/mbmg.2.25136","characterising planktonic dinoflagellate diversity in singapore using dna metabarcoding","<jats:p>dinoflagellates are traditionally identified morphologically using microscopy, which is a time-consuming and labour-intensive process. hence, we explored dna metabarcoding using high-throughput sequencing as a more efficient way to study planktonic dinoflagellate diversity in singapore’s waters. from 29 minimally pre-sorted water samples collected at four locations in western singapore, dna was extracted, amplified and sequenced for a 313-bp fragment of the v4–v5 region in the 18s ribosomal rna gene. two sequencing runs generated 2,847,170 assembled paired-end reads, corresponding to 573,176 unique sequences. sequences were clustered at 97% similarity and analysed with stringent thresholds (=150 bp, =20 reads, =95% match to dinoflagellates), recovering 28 dinoflagellate taxa. dinoflagellate diversity captured includes parasitic and symbiotic groups which are difficult to identify morphologically. richness is similar between the inner and outer west johor strait, but variations in community structure are apparent, likely driven by environmental differences. none of the taxa detected in a recent phytoplankton bloom along the west johor strait have been recovered in our samples, suggesting that background communities are distinct from bloom communities. the voluminous data obtained in this study contribute baseline information for singapore’s phytoplankton communities and prompt future research and monitoring to adopt the approach established here.</jats:p>",2018
"4","10.3897/mbmg.2.26869","a dna metabarcoding protocol for hyporheic freshwater meiofauna evaluating highly degenerate coi primers and replication strategy","<jats:p>the hyporheic zone, i.e. the ecotone between surface water and the groundwater, is a rarely studied freshwater ecosystem. hyporheic taxa are often meiofaunal (&amp;lt;1 mm) in size and difficult to identify based on morphology. metabarcoding approaches are promising for the study of these environments and taxa, but it is yet unclear if commonly applied metabarcoding primers and replication strategies can be used. in this study, we took sediment cores from two near natural upstream (nnu) and two ecologically improved downstream (eid) sites in the boye catchment (emscher river, germany), metabarcoding their meiofaunal communities. we evaluated the usability of a commonly used, highly degenerate coi primer pair (bf2/br2) and tested how sequencing three pcr replicates per sample and removing motus present in only one out of three replicates impacts the inferred community composition. a total of 22,514 motus were detected, of which only 263 were identified as metazoa. our results highlight the gaps in reference databases for meiofaunal taxa and the potential problems of using highly degenerate primers for studying samples containing a high number of non-metazoan taxa. alpha diversity was higher in eid sites and showed higher community similarity when compared to nnu sites. beta diversity analyses showed that removing motus detected in only one out of three replicates per site greatly increased community similarity in samples. sequencing three sample replicates and removing rare motus is seen as a good compromise between retaining too many false-positives and introducing too many false-negatives. we conclude that metabarcoding hyporheic communities using highly degenerate coi primers can provide valuable first insights into the diversity of these ecosystems and highlight some potential application scenarios.</jats:p>",2018
"5","10.3897/mbmg.3.33835","development of a new set of pcr primers for edna metabarcoding decapod crustaceans","<jats:p>the decapoda is one of the largest orders within the class malacostraca, comprising approximately 14,000 extant species and including many commercially important species. for biodiversity monitoring in a non-invasive manner, a new set of pcr primers was developed for metabarcoding environmental dna (edna) from decapod crustaceans. the new primers (herein named “mideca”) were designed for two conservative regions of the mitochondrial 16s rrna gene, which amplify a short, hyper-variable region (153–184 bp, 164 bp on average) with sufficient interspecific variations. with the use of mideca primers and tissue-derived dna extracts, we successfully determined those sequences (154–189 bp) from 250 species, placed in 186 genera and 65 families across the suborder dendrobranchiata and 10 of the 11 infraorders of the suborder pleocyemata. we also preliminarily attempted edna metabarcoding from natural seawater collected at banda, tateyama, the pacific coast of central japan and detected 42 decapod species including 34 and 8 species with sequence identities of &amp;gt; 98% and 80–98%, respectively. the results suggest the usefulness of edna metabarcoding with mideca primers for biodiversity monitoring of the decapod species. it appears, however, that further optimisation of primer sequences would still be necessary to avoid possible pcr dropouts from edna extracts.</jats:p>",2019
"6","10.7287/peerj.preprints.3456v4","scaling up dna metabarcoding for freshwater macrozoobenthos monitoring","<jats:p>the viability of dna metabarcoding for assessment of freshwater macrozoobenthos has been demonstrated over the past years. it matured to a stage where it can be applied to monitoring at a large scale, keeping pace with increased high throughput sequencing (hts) capacity. however, workflows and sample tagging need to be optimized to accommodate for hundreds of samples within a single sequencing run. we here conceptualize a streamlined metabarcoding workflow, in which samples are processed in 96-well plates. each sample is replicated starting with tissue extraction. negative and positive controls are included to ensure data reliability. with our newly developed fusion primer sets for the bf2+br2 primer pair up to three 96-well plates (288 wells) can be uniquely tagged for a single illumina sequencing run. by including illumina indices, tagging can be extended to thousands of samples. we hope that our metabarcoding workflow will be used as a practical guide for future large-scale biodiversity assessments involving freshwater invertebrates. however, we also want to point out that this is just one possible metabarcoding approach, and that we hope this article will stimulate discussion and publication of alternatives and extensions.</jats:p>",2018
"7","10.7287/peerj.preprints.3037","short coi markers for freshwater macroinvertebrate metabarcoding","<jats:p>species diversity of metazoan bulk samples can be rapidly assessed using cytochrome c oxidase i (coi) metabarcoding. however, in some applications often only degraded dna is available, e.g. from poorly conserved museum specimens, environmental dna (edna) filtered from water or gut content analyses. here universal primer sets targeting only a short coi fragment are advantageous, as they often can still amplify short dna fragments. using primerminer, we optimised two universal primer sets targeting freshwater macroinvertebrates based on ncbi and bold reference sequences. the fwh1 and fwh2 primer sets targeting a 178 and 205 bp region were tested in vitro by sequencing previously used freshwater macroinvertebrate mock communities as well as three monitoring samples from romanian streams of unknown composition. they were further evaluated in silico for their suitability to amplify other insect groups. the fwh1 primer sets showed the most consistent amplification in silico and in vitro , detecting 92% of the taxa present in the mock communities, and allowing clear differentiation between the three macroinvertebrate communities from the romanian streams. in silico analysis indicates that the short primers are likely to perform well even for non-freshwater insects. comparing the performance of the new fwh1 primer sets to a highly degenerate primer set targeting a longer fragment (bf2+br2) revealed that detection efficiency is slightly lower for the new primer set. nevertheless, the shorter new primer pairs might be useful for studies that have to rely on degraded or poorly conserved dna and thus be of importance for biomonitoring, conservation biological or molecular ecological studies. furthermore, our study highlights the need for in silico evaluation of primer sets in order to detect design errors in primers (fwhr2) and find optimal universal primer sets for the target taxa of interest.</jats:p>",2018
"8","10.7287/peerj.preprints.2044v3","validation and development of freshwater invertebrate metabarcoding coi primers for environmental impact assessment","<jats:p>to assess and manage human impacts on freshwater ecosystems is a central challenge in the present era of biodiversity loss. macroinvertebrates are an ideal group for environmental impacts assessment (eia). however, generating accurate macroinvertebrate inventories is difficult and error-prone based on larval morphology. here, dna metabarcoding provides new opportunities. its potential to accurately identify bulk invertebrates on species level has been demonstrated in several case studies. however, dna based identification is often limited by primer bias, potentially leading to taxa in the sample remaining undetected. thus, the success of dna metabarcoding as an emerging technique for eia critically relies on carefully evaluated primers. we used the r package primerminer to obtain and process cytochrome c oxidase i (coi) sequence data for the 15 globally most relevant freshwater invertebrate groups in eias. using these sequence alignments, we developed four primers combinations optimized for freshwater macrozoobenthos. all primers were evaluated by sequencing ten mock community samples each consisting of 52 freshwater invertebrate taxa. additionally popular metabarcoding primers from the literature and the here developed primers were tested <jats:italic>in silico</jats:italic> against the 15 relevant invertebrate groups. the developed primers varied in amplification efficiency and the amount of detected taxa, yet all retrieved more taxa than standard ‘folmer’ barcoding primers. two new primer combinations showed more consistent amplification than a previously tested ribosomal marker (16s) and detected all 42 insect taxa present in the mock community samples. <jats:italic>in silico</jats:italic> evaluation revealed critical design flaws in some commonly used primers from the literature. we demonstrate a reliable strategy to develop optimized primers using the tool primerminer. the developed primers detected almost all taxa present in the mock samples, and we argue that high base degeneracy is necessary to decrease primer bias as confirmed by experimental results and <jats:italic>in silico</jats:italic> primer evaluation. we further demonstrate that not all primers currently used in metabarcoding studies are likely not suitable for amplification of insect and freshwater taxa. thus careful primer evaluation and more region / ecosystem specific primers might be needed, before dna metabarcoding can be used for routine eia of freshwater ecosystems.</jats:p>",2018
"9","10.7287/peerj.preprints.2044v5","validation and development of coi metabarcoding primers for freshwater macroinvertebrate bioassessment","<jats:p>a central challenge in the present era of biodiversity loss is to assess and manage human impacts on freshwater ecosystems. macroinvertebrates are an important group for bioassessment as many taxa show specific responses to environmental conditions. however, generating accurate macroinvertebrate inventories based on larval morphology is difficult and error-prone. here, dna metabarcoding provides new opportunities. its potential to accurately identify invertebrates in bulk samples to the species level, has been demonstrated in several case studies. however, dna based identification is often limited by primer bias, potentially leading to taxa in the sample remaining undetected. thus, the success of dna metabarcoding as an emerging technique for bioassessment critically relies on carefully evaluating primers.</jats:p>
        <jats:p>we used the r package primerminer to obtain and process cytochrome c oxidase i (coi) sequence data for the 15 most globally relevant freshwater invertebrate groups for stream assessment. using these sequence alignments, we developed four primer combinations optimized for freshwater macrozoobenthos. all primers were evaluated by sequencing ten mock community samples, each consisting of 52 freshwater invertebrate taxa. additionally, popular metabarcoding primers from the literature and the developed primers were tested <jats:italic>in silico</jats:italic> against the 15 relevant invertebrate groups.</jats:p>
        <jats:p>the developed primers varied in amplification efficiency and the number of detected taxa, yet all detected more taxa than standard ‘folmer’ barcoding primers. two new primer combinations showed more consistent amplification than a previously tested ribosomal marker (16s) and detected all 42 insect taxa present in the mock community samples. <jats:italic>in silico</jats:italic> evaluation revealed critical design flaws in some commonly used primers from the literature.</jats:p>
        <jats:p>we demonstrate a reliable strategy to develop optimized primers using the tool primerminer. the developed primers detected almost all taxa present in the mock samples, and we argue that high base degeneracy is necessary to decrease primer bias as confirmed by experimental results and <jats:italic>in silico</jats:italic> primer evaluation. we further demonstrate that some primers currently used in metabarcoding studies may not be suitable for amplification of freshwater macroinvertebrates. therefore, careful primer evaluation and more region / ecosystem specific primers are needed before dna metabarcoding can be used for routine bioassessment of freshwater ecosystems.</jats:p>",2018
"10","10.3897/mbmg.2.24262","estimating fish alpha and beta diversity along a small stream with environmental dna metabarcoding","<jats:p>environmental dna (edna) metabarcoding has been increasingly applied to biodiversity surveys in stream ecosystems. in stream networks, the accuracy of edna-based biodiversity assessment depends on whether the upstream edna influx affects downstream detection. biodiversity assessment in low-discharge streams should be less influenced by edna transport than in high-discharge streams. we estimated a- and ß-diversity of the fish community from edna samples collected in a small michigan (usa) stream from its headwaters to its confluence with a larger river. we found that a-diversity increased from upstream to downstream and, as predicted, we found a significant positive correlation between ß-diversity and physical distance (stream length) between locations indicating species turnover along the longitudinal stream gradient. sample replicates and different genetic markers showed similar species composition, supporting the consistency of the edna metabarcoding approach to estimate a- and ß-diversity of fishes in low-discharge streams.</jats:p>",2018
