"","@_fa","url","identifier","eid","title","creator","publicationName","issn","eIssn","pageRange","coverDate","coverDisplayDate","doi","description","citedby-count","aggregationType","subtype","subtypeDescription","author-count.@limit","author-count.$","authkeywords","source-id","fund-no","fund-sponsor","openaccess","openaccessFlag","entry_number","volume","issueIdentifier","pubmed-id","article-number","fund-acr","pii","YearPub"
"1","true","https://api.elsevier.com/content/abstract/scopus_id/85064903525","SCOPUS_ID:85064903525","2-s2.0-85064903525","Environmental DNA metabarcoding to detect pathogenic Leptospira and associated organisms in leptospirosis-endemic areas of Japan","Sato Y.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-019-42978-1","© 2019, The Author(s). Leptospires, which cause the zoonotic disease leptospirosis, persist in soil and aqueous environments. Several factors, including rainfall, the presence of reservoir animals, and various abiotic and biotic components interact to influence leptospiral survival, persistence, and pathogenicity in the environment. However, how these factors modulate the risk of infection is poorly understood. Here we developed an approach using environmental DNA (eDNA) metabarcoding for detecting the microbiome, vertebrates, and pathogenic Leptospira in aquatic samples. Specifically, we combined 4 sets of primers to generate PCR products for high-throughput sequencing of multiple amplicons through next-generation sequencing. Using our method to analyze the eDNA of leptospirosis-endemic areas in northern Okinawa, Japan, we found that the microbiota in each river shifted over time. Operating taxonomic units corresponding to pathogenic L. alstonii, L. kmetyi, and L. interrogans were detected in association with 12 nonpathogenic bacterial species. In addition, the frequencies of 11 of these species correlated with the amount of rainfall. Furthermore, 10 vertebrate species, including Sus scrofa, Pteropus dasymallus, and Cynops ensicauda, showed high correlation with leptospiral eDNA detection. Our eDNA metabarcoding method is a powerful tool for understanding the environmental phase of Leptospira and predicting human infection risk.","0","Journal","ar","Article","100","6",NA,"21100200805","JP18H02655","Japan Society for the Promotion of Science","1","TRUE","2","9","1","31024059","6575",NA,NA,2019
"2","true","https://api.elsevier.com/content/abstract/scopus_id/85064344289","SCOPUS_ID:85064344289","2-s2.0-85064344289","Comprehensive biodiversity analysis via ultra-deep patterned flow cell technology: a case study of eDNA metabarcoding seawater","Singer G.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-019-42455-9","© 2019, The Author(s). The characterization of biodiversity is a crucial element of ecological investigations as well as environmental assessment and monitoring activities. Increasingly, amplicon-based environmental DNA metabarcoding (alternatively, marker gene metagenomics) is used for such studies given its ability to provide biodiversity data from various groups of organisms simply from analysis of bulk environmental samples such as water, soil or sediments. The Illumina MiSeq is currently the most popular tool for carrying out this work, but we set out to determine whether typical studies were reading enough DNA to detect rare organisms (i.e., those that may be of greatest interest such as endangered or invasive species) present in the environment. We collected sea water samples along two transects in Conception Bay, Newfoundland and analyzed them on the MiSeq with a sequencing depth of 100,000 reads per sample (exceeding the 60,000 per sample that is typical of similar studies). We then analyzed these same samples on Illumina’s newest high-capacity platform, the NovaSeq, at a depth of 7 million reads per sample. Not surprisingly, the NovaSeq detected many more taxa than the MiSeq thanks to its much greater sequencing depth. However, contrary to our expectations this pattern was true even in depth-for-depth comparisons. In other words, the NovaSeq can detect more DNA sequence diversity within samples than the MiSeq, even at the exact same sequencing depth. Even when samples were reanalyzed on the MiSeq with a sequencing depth of 1 million reads each, the MiSeq’s ability to detect new sequences plateaued while the NovaSeq continued to detect new sequence variants. These results have important biological implications. The NovaSeq found 40% more metazoan families in this environment than the MiSeq, including some of interest such as marine mammals and bony fish so the real-world implications of these findings are significant. These results are most likely associated to the advances incorporated in the NovaSeq, especially a patterned flow cell, which prevents similar sequences that are neighbours on the flow cell (common in metabarcoding studies) from being erroneously merged into single spots by the sequencing instrument. This study sets the stage for incorporating eDNA metabarcoding in comprehensive analysis of oceanic samples in a wide range of ecological and environmental investigations.","0","Journal","ar","Article","100","5",NA,"21100200805","781-37749-207993","Petroleum Research Newfoundland &amp; Labrador","1","TRUE","3","9","1","30979963","5991",NA,NA,2019
"3","true","https://api.elsevier.com/content/abstract/scopus_id/85063753825","SCOPUS_ID:85063753825","2-s2.0-85063753825","Assessment of functional and structural changes of soil fungal and oomycete communities in holm oak declined dehesas through metabarcoding analysis","Ruiz Gómez F.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-019-41804-y","© 2019, The Author(s). Forest decline is nowadays a major challenge for ecosystem sustainability. Dehesas, which consists of savannah-like mediterranean ecosystems, are threatened by the holm oak decline in the south-west of Iberian Peninsula. Phytophthora cinnamomi is considered the main agent of holm oak root rot, but little is known about the relationship between diversity of soilborne microbial community and the decline syndrome of holm oak. It would be hypothesized that the changes in the structure and functionality of the soil microbiome might influence tree health status through changes in richness and diversity of beneficial organisms such as mycorrhizal species, or fungal plant pathogens such as Fusarium spp. or Alternaria spp. Total DNA of soil samples from declined oak dehesas was extracted and analyzed through metabarcoding techniques, to evaluate the specific composition and diversity of the fungal and oomycete communities and their relationship with the disease symptoms. The fungal community included a wide range of pathogens and abundance of ectomycorrhizal key taxa related with low defoliation degree. Phytophthora cinnamomi and Pythium spiculum did not appear among the most abundant oomycetes, nor were they related directly to defoliation levels. Moreover, a particular taxon belonging to the genus Trichoderma was strongly correlated with the scarcity of pathogenic Phytophthora spp. The diversity and composition of fungal and oomycete communities were related to the severity of the decline symptoms. The metabarcoding study of microbiome represents a powerful tool to develop biocontrol strategies for the management of the holm oak root rot.","0","Journal","ar","Article","100","6",NA,"21100200805","CGL2017-86161-R","Ministry of Economy, Trade and Industry","0","FALSE","4","9","1","30926869","5315",NA,NA,2019
"4","true","https://api.elsevier.com/content/abstract/scopus_id/85063484521","SCOPUS_ID:85063484521","2-s2.0-85063484521","Novel diversity within marine Mamiellophyceae (Chlorophyta) unveiled by metabarcoding","Tragin M.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-019-41680-6","© 2019, The Author(s). Mamiellophyceae (unicellular green algae) are a key phytoplankton group in coastal waters. Although extensively studied over the last 20 years, the overall oceanic distribution of the major species/clades is still poorly known. To address this problem, we analyzed the 2014 Ocean Sampling Day (OSD) metabarcoding dataset providing sequences from the V4 hypervariable region of the 18S rRNA gene for 157 samples collected at 143 mostly coastal stations. Mamiellophyceae were found at nearly all OSD stations and represented 55% of the green microalgae (Chlorophyta) reads. We performed phylogenetic analyses of unique OSD metabarcodes (amplicon single variants, ASVs) and GenBank reference sequences from cultures and from the environment, focusing on the four most represented genera: Ostreococcus (45% of the Mamiellophyceae reads), Micromonas (34%), Bathycoccus (10%) and Mantoniella (8.7%). These analyses uncovered novel diversity within each genus except Bathycoccus. In Ostreococcus, a new clade (E) was the second most represented clade after Ostreococcus “lucimarinus”. Micromonas could be separated into nine clades, exceeding the six species and candidate species already described. Finally, we found two new environmental clades within Mantoniella. Each Mamiellophyceae clade had a specific distribution in the OSD dataset suggesting that they are adapted to different ecological niches.","0","Journal","ar","Article","100","2",NA,"21100200805","UE-contract-287589","Région Bretagne","1","TRUE","5","9","1","30914730","5190",NA,NA,2019
"5","true","https://api.elsevier.com/content/abstract/scopus_id/85062589355","SCOPUS_ID:85062589355","2-s2.0-85062589355","Deciphering host-parasitoid interactions and parasitism rates of crop pests using DNA metabarcoding","Sow A.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-019-40243-z","© 2019, The Author(s). An accurate estimation of parasitism rates and diversity of parasitoids of crop insect pests is a prerequisite for exploring processes leading to efficient natural biocontrol. Traditional methods such as rearing have been often limited by taxonomic identification, insect mortality and intensive work, but the advent of high-throughput sequencing (HTS) techniques, such as DNA metabarcoding, is increasingly seen as a reliable and powerful alternative approach. Little has been done to explore the benefits of such an approach for estimating parasitism rates and parasitoid diversity in an agricultural context. In this study, we compared the composition of parasitoid species and parasitism rates between rearing and DNA metabarcoding of host eggs and larvae of the millet head miner, Heliocheilus albipunctella De Joannis (Lepidoptera, Noctuidae), collected from millet fields in Senegal. We first assessed the detection threshold for the main ten endoparasitoids, by sequencing PCR products obtained from artificial dilution gradients of the parasitoid DNAs in the host moth. We then assessed the potential of DNA metabarcoding for diagnosing parasitism rates in samples collected from the field. Under controlled conditions, our results showed that relatively small quantities of parasitoid DNA (0.07 ng) were successfully detected within an eight-fold larger quantity of host DNA. Parasitoid diversity and parasitism rate estimates were always higher for DNA metabarcoding than for host rearing. Furthermore, metabarcoding detected multi-parasitism, cryptic parasitoid species and differences in parasitism rates between two different sampling sites. Metabarcoding shows promise for gaining a clearer understanding of the importance and complexity of host-parasitoid interactions in agro-ecosystems, with a view to improving pest biocontrol strategies.","0","Journal","ar","Article","100","9",NA,"21100200805","undefined","Centre de Coopération Internationale en Recherche Agronomique pour le Développement","1","TRUE","6","9","1","30842584","3646",NA,NA,2019
"6","true","https://api.elsevier.com/content/abstract/scopus_id/85062583995","SCOPUS_ID:85062583995","2-s2.0-85062583995","Evaluation of detection probabilities at the water-filtering and initial PCR steps in environmental DNA metabarcoding using a multispecies site occupancy model","Doi H.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-019-40233-1","© 2019, The Author(s). Environmental DNA (eDNA) metabarcoding is a recently developed method to assess biodiversity based on a high-throughput parallel DNA sequencing applied to DNA present in the ecosystem. Although eDNA metabarcoding enables a rapid assessment of biodiversity, it is prone to species detection errors that may occur at sequential steps in field sampling, laboratory experiments, and bioinformatics. In this study, we illustrate how the error rates in the eDNA metabarcoding-based species detection can be accounted for by applying the multispecies occupancy modelling framework. We report a case study with the eDNA sample from an aquarium tank in which the detection probabilities of species in the two major steps of eDNA metabarcoding, filtration and PCR, across a range of PCR annealing temperatures, were examined. We also show that the results can be used to examine the efficiency of species detection under a given experimental design and setting, in terms of the efficiency of species detection, highlighting the usefulness of the multispecies site occupancy modelling framework to study the optimum conditions for molecular experiments.","0","Journal","ar","Article","100","6",NA,"21100200805","JPMJCR13A2","Canon Foundation for Scientific Research","1","TRUE","7","9","1","30837589","3581",NA,NA,2019
"7","true","https://api.elsevier.com/content/abstract/scopus_id/85060375665","SCOPUS_ID:85060375665","2-s2.0-85060375665","Multi-locus DNA metabarcoding of zooplankton communities and scat reveal trophic interactions of a generalist predator","Carroll E.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-018-36478-x","© 2019, The Author(s). To understand the ecosystem dynamics that underpin the year-round presence of a large generalist consumer, the Bryde’s whale (Balaenoptera edeni brydei), we use a DNA metabarcoding approach and systematic zooplankton surveys to investigate seasonal and regional changes in zooplankton communities and if whale diet reflects such changes. Twenty-four zooplankton community samples were collected from three regions throughout the Hauraki Gulf, New Zealand, over two temperature regimes (warm and cool seasons), as well as 20 samples of opportunistically collected Bryde’s whale scat. Multi-locus DNA barcode libraries were constructed from 18S and COI gene fragments, representing a trade-off between identification and resolution of metazoan taxa. Zooplankton community OTU occurrence and relative read abundance showed regional and seasonal differences based on permutational analyses of variance in both DNA barcodes, with significant changes in biodiversity indices linked to season in COI only. In contrast, we did not find evidence that Bryde’s whale diet shows seasonal or regional trends, but instead indicated clear prey preferences for krill-like crustaceans, copepods, salps and ray-finned fishes independent of prey availability. The year-round presence of Bryde’s whales in the Hauraki Gulf is likely associated with the patterns of distribution and abundance of these key prey items.","0","Journal","ar","Article","100","10",NA,"21100200805","undefined","Department of Conservation","1","TRUE","8","9","1","30670720","281",NA,NA,2019
"8","true","https://api.elsevier.com/content/abstract/scopus_id/85061287757","SCOPUS_ID:85061287757","2-s2.0-85061287757","Metabarcoding reveals that rhizospheric microbiota of Quercus pyrenaica is composed by a relatively small number of bacterial taxa highly abundant","Lasa A.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-018-38123-z","© 2019, The Author(s). Melojo oak (Quercus pyrenaica Willd.) is a key tree species of Mediterranean forests; however, these forests show an advanced stage of deterioration in the Iberian Peninsula. Plant-associated microorganisms play an essential role improving their host’s fitness, hence, a better understanding of oak rhizospheric microbiome, especially of those active members, could be the first step towards microbiome-based approaches for oak-forest improvement. Here we reported, for the first time, the diversity of total (DNA-based) and potentially active (RNA-based) bacterial communities of different melojo-oak forest formations through pyrosequencing of 16S rRNA gene amplicons. We found that potentially active bacterial communities were as rich and diverse as total bacterial communities, but different in terms of relative abundance patterns in some of the studied areas. Both core microbiomes were dominated by a relatively small percentage of OTUs, most of which showed positive correlation between both libraries. However, the uncoupling between abundance (rDNA) and potential activity (rRNA) for some taxa suggests that the most abundant taxa are not always the most active, and that low-abundance OTUs may have a strong influence on oak’s rhizospheric ecology. Thus, measurement of rRNA:rDNA ratio could be helpful in identifying major players for the development of bacterial bioinoculants.","1","Journal","ar","Article","100","5",NA,"21100200805","20134R069-RECUPERA 2020","Consejo Superior de Investigaciones Científicas","1","TRUE","9","9","1","30737434","1695",NA,NA,2019
"9","true","https://api.elsevier.com/content/abstract/scopus_id/85065398939","SCOPUS_ID:85065398939","2-s2.0-85065398939","Chemosynthetic ectosymbionts associated with a shallow-water marine nematode","Bellec L.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-019-43517-8","© 2019, The Author(s). Prokaryotes and free-living nematodes are both very abundant and co-occur in marine environments, but little is known about their possible association. Our objective was to characterize the microbiome of a neglected but ecologically important group of free-living benthic nematodes of the Oncholaimidae family. We used a multi-approach study based on microscopic observations (Scanning Electron Microscopy and Fluorescence In Situ Hybridization) coupled with an assessment of molecular diversity using metabarcoding based on the 16S rRNA gene. All investigated free-living marine nematode specimens harboured distinct microbial communities (from the surrounding water and sediment and through the seasons) with ectosymbiosis seemed more abundant during summer. Microscopic observations distinguished two main morphotypes of bacteria (rod-shaped and filamentous) on the cuticle of these nematodes, which seemed to be affiliated to Campylobacterota and Gammaproteobacteria, respectively. Both ectosymbionts belonged to clades of bacteria usually associated with invertebrates from deep-sea hydrothermal vents. The presence of the AprA gene involved in sulfur metabolism suggested a potential for chemosynthesis in the nematode microbial community. The discovery of potential symbiotic associations of a shallow-water organism with taxa usually associated with deep-sea hydrothermal vents, is new for Nematoda, opening new avenues for the study of ecology and bacterial relationships with meiofauna.","0","Journal","ar","Article","100","8",NA,"21100200805","undefined","Pioneer Hi-Bred","1","TRUE","10","9","1","31065037","7019",NA,NA,2019
"10","true","https://api.elsevier.com/content/abstract/scopus_id/85064264452","SCOPUS_ID:85064264452","2-s2.0-85064264452","Tropical forest conversion to rubber plantation affects soil micro- &amp; mesofaunal community &amp; diversity","Singh D.","Scientific Reports",NA,"20452322",NA,"2019-12-01","1 December 2019","10.1038/s41598-019-42333-4","© 2019, The Author(s). Tropical rainforests play important roles in carbon sequestration and are hot spots for biodiversity. Tropical forests are being replaced by rubber (Hevea brasiliensis) plantations, causing widespread concern of a crash in biodiversity. Such changes in aboveground vegetation might have stronger impacts on belowground biodiversity. We studied tropical rainforest fragments and derived rubber plantations at a network of sites in Xishuangbanna, China, hypothesizing a major decrease in diversity with conversion to plantations. We used metabarcoding of the 18S rRNA gene and recovered 2313 OTUs, with a total of 449 OTUs shared between the two land-use types. The most abundant phyla detected were Annelida (66.4% reads) followed by arthropods (15.5% reads) and nematodes (8.9% reads). Of these, only annelids were significantly more abundant in rubber plantation. Taken together, a- and ß-diversity were significantly higher in forest than rubber plantation. Soil pH and spatial distance explained a significant portion of the variability in phylogenetic community structure for both land-use types. Community assembly was primarily influenced by stochastic processes. Overall it appears that forest replacement by rubber plantation results in an overall loss and extensive replacement of soil micro- and mesofaunal biodiversity, which should be regarded as an additional aspect of the impact of forest conversion.","0","Journal","ar","Article","100","9",NA,"21100200805","undefined",NA,"1","TRUE","11","9","1","30971738","5893",NA,NA,2019
